,Unnamed: 0,pair,beta,se,pvals,exposure_name,outcome_name
146,110,1359_vs_MDD,-0.0525733197051362,0.0116822496689676,2.940786401077889e-05,aseg rh intensity Putamen,MDD
147,111,1380_vs_MDD,0.0633265794037754,0.0149314301169696,9.181863664580557e-05,wg lh intensity-contrast medialorbitofrontal,MDD
148,112,1394_vs_MDD,0.0328385680226736,0.011007980280676,0.0089858619854278,wg lh intensity-contrast superiorfrontal,MDD
149,113,0487_vs_SCZ,0.174191326999908,0.0377389256435492,1.7351566149011143e-05,aparc-DKTatlas rh volume pericalcarine,SCZ
150,114,1936_vs_MDD,-0.127043345671004,0.0205886373312076,3.850687894123142e-09,IDP dMRI TBSS ICVF Cingulum cingulate gyrus R,MDD
151,115,0191_vs_SCZ,0.123944170259286,0.0400665813888212,0.0064080477967498,aseg lh volume Lateral-Ventricle,SCZ
152,116,0191_vs_ADHD,-0.179365488787692,0.0498787503299446,0.001173836054375,aseg lh volume Lateral-Ventricle,ADHD
153,117,1786_vs_MDD,0.125531222991477,0.0209386772227729,1.1227711595347636e-08,IDP dMRI TBSS L3 Superior longitudinal fasciculus R,MDD
154,118,1890_vs_MDD,-0.0580563180372664,0.0168969016702612,0.0020716842946014,IDP dMRI ProbtrackX L3 ilf r,MDD
155,119,1954_vs_SCZ,-0.150077270398635,0.0429853399833802,0.0017071365780318,IDP dMRI ProbtrackX ICVF cgc l,SCZ
156,120,2122_vs_MDD,-0.0533725187776068,0.014011353506247,0.0005289376240995,IDP dMRI ProbtrackX ISOVF slf r,MDD
157,121,0893_vs_SCZ,0.162173471233225,0.0502108884476248,0.004151210297118,aparc-a2009s lh area G-oc-temp-med-Lingual,SCZ
158,122,0127_vs_MDD,0.0424621158122041,0.0115626571665899,0.0008880382743852,IDP T1 FAST ROIs R putamen,MDD
159,123,0851_vs_SCZ,0.154056985488779,0.0416679815902003,0.0008089025990923,aparc-DKTatlas rh area lingual,SCZ
160,124,1928_vs_MDD,-0.0661293337348594,0.0183190480618161,0.0011164183990989,IDP dMRI TBSS ICVF Posterior corona radiata R,MDD
161,125,3915_vs_SCZ,-0.220320398353234,0.0422176737347837,8.830358918313018e-07,rfMRI connectivity ICA-features 2,SCZ
162,126,3915_vs_ADHD,-0.125152346385319,0.0389560729994991,0.0043895065261925,rfMRI connectivity ICA-features 2,ADHD
163,127,3919_vs_SCZ,-0.229627991254918,0.0575731315181411,0.0002612379604406,rfMRI connectivity ICA-features 6,SCZ
164,128,0769_vs_SCZ,0.166189794999559,0.0349420832169344,8.954111923757068e-06,aparc-pial rh area pericalcarine,SCZ
165,129,1408_vs_MDD,0.058345586373053,0.0127556358471242,2.100144972953712e-05,wg rh intensity-contrast fusiform,MDD
166,130,1969_vs_MDD,-0.0640754537950753,0.0175211155934769,0.0009396160260196,IDP dMRI ProbtrackX ICVF ptr l,MDD
