pair,beta_unadj,se,adj_p,exp_cat,out_cat,dce_beta,exp,out,non_zero_in_dce,exposure_name,outcome_name
1598_vs_MDD,-0.0524394117123328,0.0170013687793286,0.0064053683636579,WM tract MO,internalizing,-0.0133681130327009,1598,MDD,True,IDP dMRI ProbtrackX MO str l,MDD
1598_vs_PTSD,-0.0832127974504546,0.0231162784346059,0.0011309261084395,WM tract MO,internalizing,-0.0035541985981889,1598,PTSD,True,IDP dMRI ProbtrackX MO str l,PTSD
2046_vs_ANX,-0.0897992905089305,0.0261167137891025,0.0020018935774562,WM tract OD,internalizing,0.0,2046,ANX,False,IDP dMRI ProbtrackX OD slf l,ANX
1470_vs_SCZ,0.178758060555256,0.048945012893043,0.0009347238473102,WM tract FA,bd/scz,0.0,1470,SCZ,False,IDP dMRI TBSS FA Posterior limb of internal capsule R,SCZ
1470_vs_PTSD,-0.0677857692459792,0.0223821748067551,0.0076041652475934,WM tract FA,internalizing,-0.0018278414165565,1470,PTSD,True,IDP dMRI TBSS FA Posterior limb of internal capsule R,PTSD
1456_vs_AUD,0.049747948476455,0.0125394888894662,0.0002794499187993,WM tract FA,substance use,0.015364540220079,1456,AUD,True,IDP dMRI TBSS FA Splenium of corpus callosum,AUD
SB_vs_1465,-0.184835422745782,0.0593543065160793,0.0058410812671058,suicidality,WM tract FA,0.0,SB,1465,False,SB,IDP dMRI TBSS FA Superior cerebellar peduncle L
1464_vs_SCZ,0.152905343913276,0.0414920841898059,0.0008282978450654,WM tract FA,bd/scz,0.0,1464,SCZ,False,IDP dMRI TBSS FA Superior cerebellar peduncle R,SCZ
1925_vs_BD,-0.104165417873138,0.030264068131402,0.0019778671459931,WM tract ICVF,bd/scz,-0.0073115536039185,1925,BD,True,IDP dMRI TBSS ICVF Anterior corona radiata L,BD
1924_vs_BD,-0.0965088488591723,0.0284380613873779,0.0023341913104615,WM tract ICVF,bd/scz,-0.0084322676589484,1924,BD,True,IDP dMRI TBSS ICVF Anterior corona radiata R,BD
1919_vs_BD,-0.103962500768425,0.0316267418880328,0.0033388726148441,WM tract ICVF,bd/scz,-0.0079001633693845,1919,BD,True,IDP dMRI TBSS ICVF Anterior limb of internal capsule L,BD
1918_vs_BD,-0.117836759556289,0.0338456622920415,0.0017215729433896,WM tract ICVF,bd/scz,-0.0068388413999353,1918,BD,True,IDP dMRI TBSS ICVF Anterior limb of internal capsule R,BD
1918_vs_MDD,-0.076029685921297,0.0165446509053372,1.894145195305226e-05,WM tract ICVF,internalizing,-0.0176290414633534,1918,MDD,True,IDP dMRI TBSS ICVF Anterior limb of internal capsule R,MDD
1905_vs_BD,-0.0827848173585298,0.0224021803993727,0.0007973642210992,WM tract ICVF,bd/scz,-0.0249277613681325,1905,BD,True,IDP dMRI TBSS ICVF Body of corpus callosum,BD
1905_vs_MDD,-0.053418243784556,0.0129504751763647,0.0001476657309947,WM tract ICVF,internalizing,-0.011181503575851,1905,MDD,True,IDP dMRI TBSS ICVF Body of corpus callosum,MDD
1938_vs_BD,-0.0983257289709898,0.0301303226407232,0.0036143156026801,WM tract ICVF,bd/scz,-0.0010362526102779,1938,BD,True,IDP dMRI TBSS ICVF Cingulum hippocampus R,BD
1934_vs_PTSD,-0.142774552380978,0.0339558963541107,0.0001058149485773,WM tract ICVF,internalizing,0.0,1934,PTSD,False,IDP dMRI TBSS ICVF External capsule R,PTSD
1941_vs_BD,-0.133031665662708,0.0364923311833656,0.0009578885902172,WM tract ICVF,bd/scz,0.0,1941,BD,False,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis L,BD
1941_vs_TUD,0.0376857856094534,0.011212638718628,0.0026079455863606,WM tract ICVF,substance use,0.011002934180195,1941,TUD,True,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis L,TUD
1940_vs_BD,-0.105036013659862,0.0350144242136087,0.0082979855458605,WM tract ICVF,bd/scz,-0.0003542009314807,1940,BD,True,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis R,BD
1940_vs_MDD,-0.0724927597358231,0.019629990274434,0.0008045411819408,WM tract ICVF,internalizing,-0.0065078881009481,1940,MDD,True,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis R,MDD
1904_vs_MDD,-0.0790945271683576,0.0139497350062946,7.554517565773313e-08,WM tract ICVF,internalizing,-0.0276190662826528,1904,MDD,True,IDP dMRI TBSS ICVF Genu of corpus callosum,MDD
1904_vs_PTSD,-0.0529619293604597,0.0134800904593468,0.0003256938000036,WM tract ICVF,internalizing,-0.0089270743087804,1904,PTSD,True,IDP dMRI TBSS ICVF Genu of corpus callosum,PTSD
1913_vs_ANX,-0.0942854578992839,0.0219488305383585,7.1786756625986e-05,WM tract ICVF,internalizing,-0.0143500660910975,1913,ANX,True,IDP dMRI TBSS ICVF Inferior cerebellar peduncle L,ANX
1928_vs_MDD,-0.0728399133344745,0.0195415145961446,0.0007068036802255,WM tract ICVF,internalizing,-0.0124183206517191,1928,MDD,True,IDP dMRI TBSS ICVF Posterior corona radiata R,MDD
1928_vs_AUD,-0.0517476431534215,0.0168099449140667,0.0065256430308084,WM tract ICVF,substance use,-0.0016382584532265,1928,AUD,True,IDP dMRI TBSS ICVF Posterior corona radiata R,AUD
1923_vs_MDD,-0.0465413269214325,0.0138622534869102,0.0026403192148702,WM tract ICVF,internalizing,-0.0040543539683074,1923,MDD,True,IDP dMRI TBSS ICVF Retrolenticular part of internal capsule L,MDD
